sep=;
Version CSV|Tool SBFspot3.5.2 (Linux)|Linebreaks LF|Delimiter semicolon|Decimalpoint dot|Precision 3

;;;;Watt;Watt;Amp;Amp;Volt;Volt;Watt;Watt;Watt;Amp;Amp;Amp;Volt;Volt;Volt;Watt;Watt;%;kWh;kWh;Hz;Hours;Hours;%;Status;Status;degC
dd/MM/yyyy HH:mm:ss;DeviceName;DeviceType;Serial;Pdc1;Pdc2;Idc1;Idc2;Udc1;Udc2;Pac1;Pac2;Pac3;Iac1;Iac2;Iac3;Uac1;Uac2;Uac3;PdcTot;PacTot;Efficiency;EToday;ETotal;Frequency;OperatingTime;FeedInTime;BT_Signal;Condition;GridRelay;Temperature
20/05/2020 06:00:13;SN: 2100060901;SB 5000TL-20;2100060901;43.000;42.000;0.178;0.175;248.110;247.790;79.000;0.000;0.000;0.344;0.000;0.000;231.180;0.000;0.000;85.000;79.000;0.000;0.009;70628.786;50.000;45321.610;43828.603;67.843;Ok;Closed;31.680
20/05/2020 06:05:14;SN: 2100060901;SB 5000TL-20;2100060901;54.000;53.000;0.200;0.208;273.270;256.170;106.000;0.000;0.000;0.460;0.000;0.000;230.620;0.000;0.000;107.000;106.000;0.000;0.017;70628.794;50.010;45321.694;43828.686;68.627;Ok;Closed;32.210
20/05/2020 06:10:15;SN: 2100060901;SB 5000TL-20;2100060901;57.000;55.000;0.216;0.216;264.890;256.170;113.000;0.000;0.000;0.491;0.000;0.000;231.530;0.000;0.000;112.000;113.000;0.000;0.026;70628.803;49.980;45321.777;43828.770;67.843;Ok;Closed;32.630
20/05/2020 06:15:13;SN: 2100060901;SB 5000TL-20;2100060901;58.000;56.000;0.216;0.221;269.060;256.190;113.000;0.000;0.000;0.489;0.000;0.000;231.500;0.000;0.000;114.000;113.000;0.000;0.035;70628.812;49.980;45321.860;43828.853;68.627;Ok;Closed;32.730
20/05/2020 06:20:24;SN: 2100060901;SB 5000TL-20;2100060901;81.000;78.000;0.000;0.000;0.000;0.000;168.000;0.000;0.000;0.729;0.000;0.000;231.500;0.000;0.000;159.000;168.000;0.000;0.046;70628.823;49.980;45321.944;43828.936;68.235;Ok;Closed;32.940
20/05/2020 06:25:13;SN: 2100060901;SB 5000TL-20;2100060901;114.000;110.000;0.402;0.419;285.840;264.540;233.000;0.000;0.000;1.011;0.000;0.000;231.240;0.000;0.000;224.000;232.000;0.000;0.063;70628.840;49.980;45322.027;43829.019;68.235;Ok;Closed;33.150
20/05/2020 06:30:14;SN: 2100060901;SB 5000TL-20;2100060901;136.000;130.000;0.485;0.480;281.650;272.950;278.000;0.000;0.000;1.198;0.000;0.000;232.830;0.000;0.000;266.000;278.000;0.000;0.084;70628.861;49.990;45322.111;43829.103;67.843;Ok;Closed;33.260
20/05/2020 06:35:14;SN: 2100060901;SB 5000TL-20;2100060901;163.000;156.000;0.583;0.573;281.630;272.920;333.000;0.000;0.000;1.440;0.000;0.000;231.760;0.000;0.000;319.000;333.000;0.000;0.110;70628.887;49.990;45322.194;43829.186;67.843;Ok;Closed;33.470
20/05/2020 06:45:14;SN: 2100060901;SB 5000TL-20;2100060901;123.000;118.000;0.446;0.443;277.460;268.760;253.000;0.000;0.000;1.100;0.000;0.000;231.060;0.000;0.000;241.000;253.000;0.000;0.162;70628.939;49.980;45322.361;43829.353;67.843;Ok;Closed;33.780
20/05/2020 06:50:14;SN: 2100060901;SB 5000TL-20;2100060901;114.000;110.000;0.420;0.413;273.290;268.730;238.000;0.000;0.000;1.030;0.000;0.000;230.790;0.000;0.000;224.000;237.000;0.000;0.182;70628.959;49.970;45322.444;43829.436;68.627;Ok;Closed;34.000
20/05/2020 06:55:14;SN: 2100060901;SB 5000TL-20;2100060901;120.000;116.000;0.450;0.449;269.080;260.350;250.000;0.000;0.000;1.083;0.000;0.000;231.350;0.000;0.000;236.000;250.000;0.000;0.202;70628.979;49.970;45322.527;43829.519;67.843;Ok;Closed;34.100
20/05/2020 07:00:15;SN: 2100060901;SB 5000TL-20;2100060901;116.000;112.000;0.428;0.427;273.270;264.570;242.000;0.000;0.000;1.051;0.000;0.000;230.700;0.000;0.000;228.000;242.000;0.000;0.223;70629.000;50.020;45322.611;43829.603;67.843;Ok;Closed;34.210
20/05/2020 07:05:13;SN: 2100060901;SB 5000TL-20;2100060901;126.000;122.000;0.457;0.456;277.460;268.730;262.000;0.000;0.000;1.149;0.000;0.000;228.800;0.000;0.000;248.000;262.000;0.000;0.244;70629.021;50.010;45322.694;43829.686;67.843;Ok;Closed;34.310
20/05/2020 07:10:24;SN: 2100060901;SB 5000TL-20;2100060901;116.000;112.000;0.426;0.420;273.270;268.760;242.000;0.000;0.000;1.058;0.000;0.000;229.270;0.000;0.000;228.000;0.000;0.000;0.265;70629.042;49.980;45322.777;43829.769;67.843;Ok;Closed;34.420
20/05/2020 07:15:36;SN: 2100060901;SB 5000TL-20;2100060901;116.000;112.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.045;0.000;0.000;228.830;0.000;0.000;228.000;239.000;0.000;0.285;70629.062;49.980;45322.861;43829.853;67.843;Ok;Closed;34.520
20/05/2020 07:20:13;SN: 2100060901;SB 5000TL-20;2100060901;116.000;112.000;0.426;0.425;273.270;264.570;244.000;0.000;0.000;1.062;0.000;0.000;230.200;0.000;0.000;228.000;244.000;0.000;0.304;70629.082;49.970;45322.944;43829.936;67.843;Ok;Closed;34.520
20/05/2020 07:25:14;SN: 2100060901;SB 5000TL-20;2100060901;131.000;127.000;0.464;0.463;285.120;276.420;276.000;0.000;0.000;1.198;0.000;0.000;230.410;0.000;0.000;258.000;276.000;0.000;0.326;70629.103;49.990;45323.027;43830.019;66.667;Ok;Closed;34.630
20/05/2020 07:30:16;SN: 2100060901;SB 5000TL-20;2100060901;150.000;145.000;0.535;0.533;281.650;272.950;310.000;0.000;0.000;1.348;0.000;0.000;230.330;0.000;0.000;295.000;310.000;0.000;0.351;70629.128;49.980;45323.111;43830.103;67.059;Ok;Closed;34.630
20/05/2020 07:35:13;SN: 2100060901;SB 5000TL-20;2100060901;158.000;152.000;0.564;0.561;281.650;272.950;327.000;0.000;0.000;1.421;0.000;0.000;230.700;0.000;0.000;310.000;327.000;0.000;0.377;70629.155;50.000;45323.194;43830.186;66.667;Ok;Closed;34.840
